,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
2358,S10560,1978-003A,Soyuz-27,1978 Jan 10,1978 Mar 16,1978 Mar 16,1978 Mar 16 1118,,7K-T,,,M,C,SS,SU,ST/SG/SER.E/008,89.9,257,302,51.6,U,,M,
2359,S10561,1978-004A,Cosmos-975,1978 Jan 10,1980?,1980?,1980?,,Tselina-D,,,,D,SIG,SU,ST/SG/SER.E/008,97.6,637,680,81.2,U,,,
2360,S10581,1978-005A,Cosmos-976,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2361,S10584,1978-005B,Cosmos-977,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2362,S10585,1978-005C,Cosmos-978,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2363,S10586,1978-005D,Cosmos-979,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2364,S10587,1978-005E,Cosmos-980,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2365,S10588,1978-005F,Cosmos-981,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2366,S10589,1978-005G,Cosmos-982,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2367,S10590,1978-005H,Cosmos-983,1978 Jan 10,1980?,1980?,1980?,,Strela-1M,,,,D,COM,SU,ST/SG/SER.E/008,115.3,1452,1520,74.0,U,,,
2368,S10592,1978-006A,Cosmos-984,1978 Jan 13,1978 Jan 26,1978 Jan 26,1978 Jan 26 0552?,,Zenit-2M,,,D,D,IMG,SU,ST/SG/SER.E/008,89.5,215,313,62.8,U,,,
2369,S10594,1977-112F,,1977 Dec  8,1980?,1983?,1983?,,SSU,,,M,D,SIG,US,ST/SG/SER.E/007,107.5,1058,1165,63.4,U,,,
2370,S10599,1978-007A,Cosmos-985,1978 Jan 17,1979 May 31,1979 May 31,1979 May 31,,Parus,,,,D,NAV,SU,ST/SG/SER.E/008,105.0,960,1032,83.0,U,,,
2371,S10603,1978-008A,Progress-1,1978 Jan 20,1978 Feb  8,1978 Feb  8,1978 Feb  8,,Progress,,,M,C,SS,SU,ST/SG/SER.E/008,88.8,194,262,51.6,U,,MG,Microgravity
2372,S10605,1978-009A,Molnia-3,1978 Jan 24,1980 Nov  2,1980 Nov  2,1980 Nov  2,,Molniya-3,,,M,C,COM,SU,ST/SG/SER.E/008,736.0,661,40631,62.8,U,,,
2373,S10607,1978-010A,Cosmos-986,1978 Jan 24,1978 Feb  7,1978 Feb  7,1978 Feb  7 0548?,,Zenit-4MKM,,,M,D,IMG,SU,ST/SG/SER.E/008,89.4,179,341,65.0,U,,,
2374,S10611,1978-011A,Recoverable sat.,1978 Jan 26,1978 Jan 30,1978 Jan 30,1978 Jan 30,,FSWP,,,D,D,IMG,CN,ST/SG/SER.E/475,91.0,169,488,57.0,U,,,
2375,S10637,1978-012A,[IUE],1978 Jan 26,1996 Sep 30,1996 Sep 30,1996 Sep 30,,DeltaEx,,,M,C,AST,US,ST/SG/SER.E/007,1435.7,25669,45887,28.6,U,,UVA*,UV spectra
2376,S10639,1978-013A,Cosmos-987,1978 Jan 31,1978 Feb 14,1978 Feb 14,1978 Feb 14 0624?,,Zenit-4MKM,,,M,D,IMG,SU,ST/SG/SER.E/008,89.6,183,359,62.8,U,,,
2377,S10664,1978-014A,KYOKKO,1978 Feb  4,1979 Nov  9,1979 Nov  9,1979 Nov  9,,EXOS,,,,C,SCI,J,A/AC.105/INF.374,134.0,642,3977,65.4,U,,AUR/P/F*,Auroral particles
2378,S10666,1978-015A,Cosmos-988,1978 Feb  8,1978 Feb 20,1978 Feb 20,1978 Feb 20 0725?,,Orion,,,D,D,IMG,SU,ST/SG/SER.E/008,89.9,210,363,72.8,U,,,
2379,S10669,1978-016A,[Fleetsatcom 1],1978 Feb  9,2021 Nov,2000?,*,,FLTSATCOM,,,M,D,COM,US,ST/SG/SER.E/007,1426.3,35523,35666,27.1,U,,,
2380,S10672,1978-017A,Cosmos-989,1978 Feb 14,1978 Feb 28,1978 Feb 28,1978 Feb 28 0658?,,Zenit-4MKM,,,M,D,IMG,SU,ST/SG/SER.E/008,89.5,178,354,65.0,U,,,
