,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
1388,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S16609,1995 Dec  8 1923,Earth,1995 Dec  8 1952,EVA,S16609,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  8,390,,395,,51.65,,LLEO/I,,
1389,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S16609,1995 Dec  8 1952,Earth,1995 Dec  9?,TFR,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  9,390,,395,,51.65,,LLEO/I,,
1390,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S16609,1995 Dec  8 1952,Earth,1995 Dec  9?,TFR,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  9,390,,395,,51.65,,LLEO/I,,
1391,A05248,NNA E,1992-071,CP E,Orlan DMA-18,Orlan-DMA No. 18,1992 Oct 27,S20335,1995 Dec  9?,Earth,1996 Sep 23 1223,TFR,S24324,RKKE,SU,ZVEZ,Orlan-DM,,77,,77,,0,,2.0,,0.5,,2.0,,Suit,1996 Sep 23,373,,389,,51.65,,LLEO/I,,
1392,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S20335,1995 Dec  9?,Earth,1996 Feb  8 1403,TFR E,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1995 Dec  9,390,,395,,51.65,,LLEO/I,,
1393,A08843,NNA I,1995-053,CCIH----U,Progress M-29 Down Cargo,,1995 Oct  8,S23678,1995 Dec 18?,Earth,1995 Dec 19 1615,AR IN,,RKKE,SU,RKKE,,,0,,0,,0,,0.0,,0.0,,0.0,,Irr,1986 Mar 22,332,,338,,51.62,,LLEO/I,,
1394,S23678,23678,1995-053A,PP H,Progress M-29,Progress 7K-TGM No. 229,1995 Oct  8,S17845,1995 Dec 19 0915,Earth,1995 Dec 19 1615,D,,RKKE,RU,RKKE,Progress,,7122,,4500,,7122,,7.9,,2.7,,7.9,,Sphere + Cone + Cyl + Pan,1995 Nov  7,391,,395,,51.64,,LLEO/I,,
1395,S23744,23744,1995-070A,PP H,Progress M-30,Progress 7K-TGM No. 230,1995 Dec 18,S17845,1995 Dec 20 1610,Earth,1996 Feb 22 0730,UDK,,RKKE,RU,RKKE,Progress,,7068,,4500,,7068,,7.9,,2.7,,7.9,,Sphere + Cone + Cyl + Pan,1996 Jan 18,390,,397,,51.64,,LLEO/I,,
1396,A08844,NNA I,1995-070,CCIH----U,Progress M-30 Up Cargo,,1995 Dec 18,A04258,1995 Dec 21?,Earth,2001 Mar 23 0555,AR IN,,RKKE,SU,RKKE,,,0,,0,,0,,0.0,,0.0,,0.0,,Irr,1986 Mar 22,332,,338,,51.62,,LLEO/I,,
1397,S23521,23521,1995-011A,P,SFU,SFU,1995 Mar 18,A05736,1996 Jan 13 1057,Earth,1996 Jan 13 1139,ATT,S23762,NASDA,J,NASDA?,SFU,,3486,,2736,,3486,,2.8,,4.7,,24.4,,Oct Box + 2 Pan,1995 Apr 17,470,,492,,28.46,,LLEO/I,,
1398,S23521,23521,1995-011A,P,SFU,SFU,1995 Mar 18,S23762,1996 Jan 13 1139,Earth,1996 Jan 20 0741,AL,,NASDA,J,NASDA?,SFU,,3486,,2736,,3486,,2.8,,4.7,,24.4,,Oct Box + 2 Pan,1995 Apr 17,470,,492,,28.46,,LLEO/I,,
1399,S23763,23763,1996-001B,P ---S-,OAST-Flyer,Spartan 206,1996 Jan 11,A05736,1996 Jan 14 1057,Earth,1996 Jan 14 1132,REL,,GSFC,US,GSFC,SPTN-200,,1198,,1198,,1198,,1.5,,1.0,,1.5,,Box,1996 Jan 14,303,,311,,28.45,,LLEO/I,,
1400,S23763,23763,1996-001B,P ---S-,OAST-Flyer,Spartan 206,1996 Jan 11,A05736,1996 Jan 14 1132,Earth,1996 Jan 16 0947,GRP,A05736,GSFC,US,GSFC,SPTN-200,,1198,,1198,,1198,,1.5,,1.0,,1.5,,Box,1996 Jan 14,303,,311,,28.45,,LLEO/I,,
1401,A05729,23762,1996-001,C TS-S,EDFT-3 Rigid Umbilical,EDFT-3 Rigid Umbilical,1996 Jan 11,A05730,1996 Jan 15 0600?,Earth,1996 Jan 15 0700?,ATT,A05726,JSC,US,JSC,EVA-RU,,110,,110,,0,,2.8,,0.3,,5.4,,Folded cyl,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1402,A05729,23762,1996-001,C TS-S,EDFT-3 Rigid Umbilical,EDFT-3 Rigid Umbilical,1996 Jan 11,A05726,1996 Jan 15 0700?,Earth,1996 Jan 20 0741,AL,,JSC,US,JSC,EVA-RU,,110,,110,,0,,2.8,,0.3,,5.4,,Folded cyl,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1403,A05739,NNA E,1996-001,CP E,EMU 2042/PLSS 1009,STS-72 EV2,1996 Jan 11,S23762,1996 Jan 15 1132,Earth,1996 Jan 20 0741,AL IN,,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1404,A05738,NNA E,1996-001,CP E,EMU 2041/PLSS 1010,STS-72 EVA-1 EV1,1996 Jan 11,S23762  AL,1996 Jan 15 1132,Earth,1996 Jan 17 0534,TFR E,S23762,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1405,S23763,23763,1996-001B,P ---S-,OAST-Flyer,Spartan 206,1996 Jan 11,A05736,1996 Jan 16 0947,Earth,1996 Jan 16 1014,ATT,S23762,GSFC,US,GSFC,SPTN-200,,1198,,1198,,1198,,1.5,,1.0,,1.5,,Box,1996 Jan 14,303,,311,,28.45,,LLEO/I,,
1406,S23763,23763,1996-001B,P ---S-,OAST-Flyer,Spartan 206,1996 Jan 11,S23762,1996 Jan 16 1014,Earth,1996 Jan 20 0741,AL,,GSFC,US,GSFC,SPTN-200,,1198,,1198,,1198,,1.5,,1.0,,1.5,,Box,1996 Jan 14,303,,311,,28.45,,LLEO/I,,
1407,A05738,NNA E,1996-001,CP E,EMU 2041/PLSS 1010,STS-72 EVA-2 EV1,1996 Jan 11,S23762,1996 Jan 17 0534,Earth,1996 Jan 17 1225,EVA,S23762,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1408,A05737,23762,1996-001,C TH-S,PDAP,,1996 Jan 11,S23762,1996 Jan 17 1225,Earth,1996 Jan 20 0741,AL,,JSC,US,,APC,,23,,23,,0,,0.2,,0.4,,0.4,,Box,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1409,A05738,NNA E,1996-001,CP E,EMU 2041/PLSS 1010,STS-72 EV1,1996 Jan 11,S23762,1996 Jan 17 1225,Earth,1996 Jan 20 0741,AL IN,,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1410,A05740,NNA E,1996-001,CP E,EMU 2043/PLSS 1006,STS-72 EV3,1996 Jan 11,S23762,1996 Jan 17 1225,Earth,1996 Jan 20 0741,AL IN,,JSC,US,HASTD,EMU,,130,,130,,0,,2.0,,0.5,,2.0,,Suit,1996 Jan 15,303,,313,,28.45,,LLEO/I,,
1411,A05685,NNA E,1995-053,CP E,Orlan DMA-26,Orlan-DMA No. 26,1995 Oct  8,S20335,1996 Feb  8 1403,Earth,1996 Feb  8 1709,EVA,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1996 Feb  8,390,,397,,51.64,,LLEO/I,,
1412,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S20335,1996 Feb  8 1403,Earth,1996 Feb  8 1709,EVA,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1996 Feb  8,390,,397,,51.64,,LLEO/I,,
1413,A05685,NNA E,1995-053,CP E,Orlan DMA-26,Orlan-DMA No. 26,1995 Oct  8,S20335,1996 Feb  8 1709,Earth,1996 Mar 15 0104,TFR E,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1996 Feb  8,390,,397,,51.64,,LLEO/I,,
1414,A05304,NNA E,1993-019,CP E,Orlan DMA-25,Orlan-DMA No. 25,1993 Mar 31,S20335,1996 Feb  8 1709,Earth,1996 Mar 15 0104,TFR E,S20335,RKKE,SU,ZVEZ,Orlan-DM,,105,,105,,0,,2.0,,0.5,,2.0,,Suit,1996 Feb  8,390,,397,,51.64,,LLEO/I,,
1415,A08845,NNA I,1995-070,CCIH----U,Progress M-30 Down Cargo,,1995 Dec 18,S23744,1996 Feb 21?,Earth,1996 Feb 22 1102,AR IN,,RKKE,SU,RKKE,,,0,,0,,0,,0.0,,0.0,,0.0,,Irr,1986 Mar 22,332,,338,,51.62,,LLEO/I,,
