,JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,Result,Control,Discipline,Comment
71,A00229,1962 A GAM,GRD N Payload No. 4,1962 Jun 28,1962 Jun 28,1962 Jul  1,1962 Jul  1,,GRD,,,,D,SCI,,,,,,,S,,,
72,A00231,1962 A GAM,SRV 592,1962 Jun 28,1962 Jul  2,1962 Jul  2,1962 Jul  2,D,SRV,,,D,D,RV,,,,,,,S,,,
73,A00234,1962 A ETA,GRD Package,1962 Aug  2,1962 Aug,1962 Aug,1962 Aug,,ARPL,,,,D,TECH,,,,,,,S,,,
74,A00236,1962 A ETA,SRV 593,1962 Jul 21,1962 Jul 24,1962 Jul 24,1962 Jul 24,D,SRV,,,D,D,RV,,,,,,,S,,,
75,A00239,1962 A THE,SRV 594,1962 Jul 28,1962 Aug  1,1962 Aug  1,1962 Aug  1,D,SRV,,,D,D,RV,,,,,,,S,,,
76,A00242,1962 A KAP 1,GRD Package,1962 Aug  2,1962 Aug,1962 Aug,1962 Aug,,ARPL,,,,D,TECH,,,,,,,S,,,
77,A00245,1962 A KAP,SRV 595,1962 Aug  2,1962 Aug  6,1962 Aug  6,1962 Aug  6,D,SRV,,,D,D,RV,,,,,,,S,,,
78,A00246,1962 A LAM,FTV 2404 RV,1962 Aug  5,1962 Aug  6,1962 Aug  6,1962 Aug  6,,SAMOS E-6 RV,,,D,D,RV,,,,,,,F,,,
79,A00250,1962 A PI 1,Spuskaemiy apparat,1962 Aug 25,1962 Aug 25?,1962 Aug 25?,1962 Aug 25?,,MV SA,,,,C,RV,,,,,,,F,,,
80,A00252,1962 A SIG,DRM-3,1962 Aug 29,1962 Sep  1,1962 Sep  1,1962 Sep  1,,ARPL,,,,D,TECH,,,,,,,S,,,
81,A00254,1962-U03,R-2,1962 Aug 31,1962 Aug 31,1962 Aug 31,1962 Aug 31,,Scout Reentry,,,,C,SCI,,,,,,,U,,,
82,A00257,1962 A TAU 1,Spuskaemiy apparat,1962 Sep  1,1962 Sep  1,1962 Sep  1,1962 Sep  1,,MV SA,,,,C,RV,,,,,,,F,,,
83,A00259,1962 A UPS,Aerospace Corp Package,1962 Sep  1,1962 Sep  5,1962 Sep  5,1962 Sep  5,,ARPL,,,,D,TECH,,,,,,,S,,,
84,A00261,1962 A SIG,SRV 596,1962 Aug 29,1962 Sep  2,1962 Sep  2,1962 Sep  2,D,SRV,,,D,D,RV,,,,,,,S,,,
85,A00263,1962 A UPS,SRV 600,1962 Sep  1,1962 Sep  5,1962 Sep  5,1962 Sep  5,D,SRV,,,D,D,RV,,,,,,,S,,,
