,Cite,Reference
1776,NK0602-38,Novosti Kosmonavtiki 0602-38
1777,NK0604-03,Novosti Kosmonavtiki 0604-03
1778,NK0604-10,Novosti Kosmonavtiki 0604-10
1779,NK0605-01,Novosti Kosmonavtiki 0605-01
1780,NK0606-17,Novosti Kosmonavtiki 0606-17
1781,NK0606-32,Novosti Kosmonavtiki 0606-32
1782,NK0606-40,Novosti Kosmonavtiki 0606-40
1783,NK0607-35,Novosti Kosmonavtiki 0607-35
1784,NK0607-39,Novosti Kosmonavtiki 0607-39
1785,NK0608-01,Novosti Kosmonavtiki 0608-01
1786,NK0608-06,Novosti Kosmonavtiki 0608-06
1787,NK0608-10,Novosti Kosmonavtiki 0608-10
1788,NK0608-13,Novosti Kosmonavtiki 0608-13
1789,NK0608-25,Novosti Kosmonavtiki 0608-25
1790,NK0609-39,Novosti Kosmonavtiki 0609-39
1791,NK0609-41,Novosti Kosmonavtiki 0609-41
1792,NK0609-44,Novosti Kosmonavtiki 0609-44
1793,NK0609-52,Novosti Kosmonavtiki 0609-52
1794,NK0610-27,Novosti Kosmonavtiki 0610-27
1795,NK0611-16,Novosti Kosmonavtiki 0611-16
1796,NK0611-37,Novosti Kosmonavtiki 0611-37
1797,NK0612-01,Novosti Kosmonavtiki 0612-01
1798,NK0612-16,Novosti Kosmonavtiki 0612-16
1799,NK0612-25,Novosti Kosmonavtiki 0612-25
1800,NK0701-10,Novosti Kosmonavtiki 0701-10
1801,NK0702-19,Novosti Kosmonavtiki 0702-19
1802,NK0702-26,Novosti Kosmonavtiki 0702-26
1803,NK0702-44,Novosti Kosmonavtiki 0702-44
1804,NK0706-32,Novosti Kosmonavtiki 0706-32
1805,NK0706-68,Novosti Kosmonavtiki 0706-68
1806,NK0707-04,Novosti Kosmonavtiki 0707-04
1807,NK0707-23,Novosti Kosmonavtiki 0707-23
1808,NK0707-70,Novosti Kosmonavtiki 0707-70
1809,NK0708-23,Novosti Kosmonavtiki 0708-23
1810,NK0708-29,Novosti Kosmonavtiki 0708-29
1811,NK0708-36,Novosti Kosmonavtiki 0708-36
1812,NK0709-16,Novosti Kosmonavtiki 0709-16
1813,NK0709-19,Novosti Kosmonavtiki 0709-19
1814,NK0709-36,Novosti Kosmonavtiki 0709-36
1815,NK0710-18,Novosti Kosmonavtiki 0710-18
1816,NK0711-16,Novosti Kosmonavtiki 0711-16
1817,NK0711-19,Novosti Kosmonavtiki 0711-19
1818,NK0712-01,Novosti Kosmonavtiki 0712-01
1819,NK0712-35,Novosti Kosmonavtiki 0712-35
1820,NK0801-26,Novosti Kosmonavtiki 0801-26
1821,NK0802-12,Novosti Kosmonavtiki 0802-12
1822,NK0802-25,Novosti Kosmonavtiki 0802-25
1823,NK0802-33,Novosti Kosmonavtiki 0802-33
1824,NK0803-30,Novosti Kosmonavtiki 0803-30
1825,NK0803-35,Novosti Kosmonavtiki 0803-35
1826,NK0804-09,Novosti Kosmonavtiki 0804-09
1827,NK0804-36,Novosti Kosmonavtiki 0804-36
1828,NK0805-37,Novosti Kosmonavtiki 0805-37
1829,NK0805-44,Novosti Kosmonavtiki 0805-44
1830,NK0806-38,Novosti Kosmonavtiki 0806-38
1831,NK0807-25,Novosti Kosmonavtiki 0807-25
1832,NK0807-32,Novosti Kosmonavtiki 0807-32
1833,NK0807-33,Novosti Kosmonavtiki 0807-33
1834,NK0808-43,Novosti Kosmonavtiki 0808-43
1835,NK0808-50,Novosti Kosmonavtiki 0808-50
1836,NK0809-31,Novosti Kosmonavtiki 0809-31
1837,NK0809-34,Novosti Kosmonavtiki 0809-34
1838,NK0810-30,Novosti Kosmonavtiki 0810-30
1839,NK0810-33,Novosti Kosmonavtiki 0810-33
1840,NK0811-33,Novosti Kosmonavtiki 0811-33
1841,NK0811-34,Novosti Kosmonavtiki 0811-34
1842,NK0811-35,Novosti Kosmonavtiki 0811-35
1843,NK0812-02,Novosti Kosmonavtiki 0812-02
1844,NK0812-32,Novosti Kosmonavtiki 0812-32
1845,NK0901-20,Novosti Kosmonavtiki 0901-20
1846,NK0901-37,Novosti Kosmonavtiki 0901-37
1847,NK0902-34,Novosti Kosmonavtiki 0902-34
1848,NK0902-35,Novosti Kosmonavtiki 0902-35
1849,NK0902-39,Novosti Kosmonavtiki 0902-39
1850,NK0904-06,Novosti Kosmonavtiki 0904-06
1851,NK0904-14,Novosti Kosmonavtiki 0904-14
1852,NK0904-23,Novosti Kosmonavtiki 0904-23
1853,NK0904-37,Novosti Kosmonavtiki 0904-37
1854,NK0905-38,Novosti Kosmonavtiki 0905-38
1855,NK0906-18,Novosti Kosmonavtiki 0906-18
1856,NK0906-35,Novosti Kosmonavtiki 0906-35
1857,NK0906-38,Novosti Kosmonavtiki 0906-38
1858,NK0907-03,Novosti Kosmonavtiki 0907-03
1859,NK0907-08,Novosti Kosmonavtiki 0907-08
1860,NK0907-40,Novosti Kosmonavtiki 0907-40
1861,NK0907-46,Novosti Kosmonavtiki 0907-46
1862,NK0909-36,Novosti Kosmonavtiki 0909-36
1863,NK0911-22,Novosti Kosmonavtiki 0911-22
1864,NK0911-34,Novosti Kosmonavtiki 0911-34
1865,NK0911-41,Novosti Kosmonavtiki 0911-41
1866,NK1001-03,Novosti Kosmonavtiki 1001-03
1867,NK1001-23,Novosti Kosmonavtiki 1001-23
1868,NK1001-26,Novosti Kosmonavtiki 1001-26
1869,NK1001-35,Novosti Kosmonavtiki 1001-35
1870,NK1003-12,Novosti Kosmonavtiki 1003-12
1871,NK1004-1,Novosti Kosmonavtiki 1004-1
1872,NRL-5825,NRL-5825
1873,NRL-6865,NRL-6865
1874,NRL-7105,NRL-7105
1875,NRL-8061,NRL-8061
1876,NRL-FR-7105,NRL-FR-7105
1877,NRL-FR-8121,NRL-FR-8121
1878,NRL-FR6507,NRL-FR6507
1879,NRL-MR-3649,NRL-MR-3649
1880,NRL-MR-4112,NRL-MR-4112
1881,NRL/FR/8105-93-9546,NRL/FR/8105-93-9546
1882,NSPO-WWW,NSPO-WWW
1883,NTSB-MIA96SA223,NTSB-MIA96SA223
1884,NYT870722,NYT870722
1885,"NatPS229,144","NatPS229,144"
1886,"NatPS231,52","NatPS231,52"
1887,"NatPS236,104","NatPS236,104"
1888,"Nature179,861","Nature179,861"
1889,"Nature215,38","Nature215,38"
1890,"Nature222,728","Nature222,728"
1891,"Nature229,248","Nature229,248"
1892,"Nature252,683","Nature252,683"
1893,"Nature4932,587","Nature4932,587"
1894,"NaturePS231,11","NaturePS231,11"
1895,"NaturePS234,149","NaturePS234,149"
1896,"NaturePS234,25","NaturePS234,25"
1897,"NaturePS241,79","NaturePS241,79"
1898,"NewHorizons6,1","NewHorizons6,1"
1899,"Newell/JGR61,251","Newell/JGR61,251"
1900,Newell/UM-FS,Newell/UM-FS
1901,Newell/UM-HA-6,Newell/UM-HA-6
1902,Nike-Hist,Nike-Hist
1903,Nike-History,Nike-History
1904,OIF-TAMD,OIF-TAMD
1905,OaklandTrib590322,OaklandTrib590322
1906,OaklandTrib610817,OaklandTrib610817
1907,OneontaStar611116,OneontaStar611116
1908,PMR-TM-65-2,PMR-TM-65-2
1909,PP,PP
1910,"PRL27,1154","PRL27,1154"
1911,"PRL65,537","PRL65,537"
1912,PSLDocs,PSLDocs
1913,PSLHist,PSLHist
1914,PasaInd600825,PasaInd600825
1915,Pervov-RKO,Pervov-RKO
1916,"PhysRev99,198","PhysRev99,198"
1917,"PlanSpSci16,929","PlanSpSci16,929"
1918,"PlanSpaSci1,161","PlanSpaSci1,161"
1919,"PlanSpaSci12,1173","PlanSpaSci12,1173"
1920,"PlanSpaSci18,1307","PlanSpaSci18,1307"
1921,"PlanSpaSci21,879","PlanSpaSci21,879"
1922,"PlanSpacSci38,547","PlanSpacSci38,547"
1923,"PlanSpaceSci1,227","PlanSpaceSci1,227"
1924,"PlanSpaceSci1,396","PlanSpaceSci1,396"
1925,"PlanSpaceSci14,677","PlanSpaceSci14,677"
1926,"PlanSpaceSci22,67","PlanSpaceSci22,67"
1927,"ProcInNSA48,A3","ProcInNSA48,A3"
1928,"ProcInNSA48,A3,494","ProcInNSA48,A3,494"
1929,"ProcInNSA48,A3,506","ProcInNSA48,A3,506"
1930,"ProcRSocA317,101","ProcRSocA317,101"
1931,"QJRMS98,668","QJRMS98,668"
1932,"Quest16,2,41","Quest16,2,41"
1933,RAE/MAX,RAE/MAX
1934,RDP78T05439,RDP78T05439
1935,RISRJ,RISRJ
1936,ROTW2004,ROTW2004
1937,RSA-HJ-History,RSA-HJ-History
1938,RST-1-report,RST-1-report
1939,"RadioSci1,170","RadioSci1,170"
1940,"SFLT15,392","Spaceflight 15,392"
1941,SFLT2-183,Spaceflight 2-183
1942,SN060417-02,SN060417-02 Space News
1943,SN891009-1,SN891009-1
1944,SN900416-37,SN900416-37
1945,SN900430-11,SN900430-11
1946,SN900430-17,SN900430-17
1947,SN900903-9,SN900903-9
1948,SP-109,NASA SP-109
1949,SP-175,SP-175
1950,SP-176,SP-176
1951,SP-231,SP-231
1952,SP-252,SP-252
1953,SP-264,SP-264
1954,SPC-KH-211-5,SPC-KH-211-5
1955,SR-VII,SR-VII  Space Research (COSPAR)
1956,"SR-VII,934","SR-VII,934"
1957,SR-VII-1020,SR-VII-1020
1958,SR-VII-1050,SR-VII-1050
1959,SR-VII-1167,SR-VII-1167
1960,SR-VII-140,SR-VII-140
1961,SR-VII-186,SR-VII-186
1962,SR-VII-407,SR-VII-407
1963,SR-VII-428,SR-VII-428
1964,SR-VII-977,SR-VII-977
1965,"SR1,215","SR1,215"
1966,"SR10,208","SR10,208"
1967,"SR10,248","SR10,248"
1968,"SR10,272","SR10,272"
1969,"SR10,295","SR10,295"
1970,"SR10,532","SR10,532"
1971,"SR10,561","SR10,561"
1972,"SR10,736","SR10,736"
1973,"SR10,751","SR10,751"
1974,"SR10,825","SR10,825"
1975,"SR10,876","SR10,876"
1976,"SR10,891","SR10,891"
1977,"SR11,1063","SR11,1063"
1978,"SR11,1071","SR11,1071"
1979,"SR11,1131","SR11,1131"
1980,"SR11,1181","SR11,1181"
1981,"SR11,781","SR11,781"
1982,"SR11,830","SR11,830"
1983,"SR11,875","SR11,875"
1984,"SR11,893","SR11,893"
1985,"SR11,924","SR11,924"
1986,"SR12,1305","SR12,1305"
1987,"SR12,1321","SR12,1321"
1988,"SR12,1329","SR12,1329"
1989,"SR12,1437","SR12,1437"
1990,"SR12,1459","SR12,1459"
1991,"SR12,529","SR12,529"
1992,"SR12,607","SR12,607"
1993,"SR13,1113","SR13,1113"
1994,"SR13,1127","SR13,1127"
1995,"SR13,191","SR13,191"
1996,"SR13,449","SR13,449"
1997,"SR13,503","SR13,503"
1998,"SR13,575","SR13,575"
1999,"SR13,787","SR13,787"
2000,"SR14,119","SR14,119"
2001,"SR14,233","SR14,233"
2002,"SR14,343","SR14,343"
2003,"SR14,81","SR14,81"
2004,"SR14,97","SR14,97"
2005,"SR15,143","SR15,143"
2006,"SR15,199","SR15,199"
2007,"SR15,227","SR15,227"
2008,"SR15,237","SR15,237"
2009,"SR15,247","SR15,247"
2010,"SR15,251","SR15,251"
2011,"SR15,393","SR15,393"
2012,"SR15,491","SR15,491"
2013,SR15.237,SR15.237
2014,"SR16,111","SR16,111"
2015,"SR16,301","SR16,301"
2016,"SR16,327","SR16,327"
2017,"SR16,351","SR16,351"
2018,"SR16,355","SR16,355"
2019,"SR16,393","SR16,393"
2020,"SR16,407","SR16,407"
2021,"SR16,445","SR16,445"
2022,"SR16,503","SR16,503"
2023,"SR16,509","SR16,509"
2024,"SR16,631","SR16,631"
2025,"SR16,803","SR16,803"
2026,SR16.509,SR16.509
2027,"SR17,191","SR17,191"
2028,"SR17,321","SR17,321"
2029,"SR17,457","SR17,457"
2030,"SR17,465","SR17,465"
2031,"SR17,515","SR17,515"
2032,"SR19,111","SR19,111"
2033,"SR19,127","SR19,127"
2034,"SR19,133","SR19,133"
2035,"SR19,143","SR19,143"
2036,"SR19,173","SR19,173"
2037,"SR2,1049","SR2,1049"
2038,"SR2,1141","SR2,1141"
2039,"SR2,609","SR2,609"
2040,SR2-1125,SR2-1125
2041,"SR20,123","SR20,123"
2042,"SR20,149","SR20,149"
2043,"SR20,75","SR20,75"
2044,"SR20,79","SR20,79"
2045,"SR4,304","SR4,304"
2046,"SR4,759","SR4,759"
2047,"SR5,1112","SR5,1112"
2048,"SR5,1124","SR5,1124"
2049,"SR5,706","SR5,706"
2050,"SR5,719","SR5,719"
2051,"SR6,132","SR6,132"
2052,"SR8,430","SR8,430"
2053,"SR8,459","SR8,459"
2054,SR8-178,SR8-178
2055,SR8-195,SR8-195
2056,SR8-325,SR8-325
2057,SR8-328,SR8-328
2058,SR8-346,SR8-346
2059,SR8-617,SR8-617
2060,SR8-823,SR8-823
2061,SR8-845,SR8-845
2062,SR8-865,SR8-865
2063,SR8-871,SR8-871
2064,SR8-955,SR8-955
2065,"SR9,231","SR9,231"
2066,"SR9,279","SR9,279"
2067,"SR9,329","SR9,329"
2068,"SR9,343","SR9,343"
2069,"SR9,363","SR9,363"
2070,SR9-393,SR9-393
2071,SRCON7-162,SRCON7-162
2072,SRJ/ESA-SP317-381,SRJ/ESA-SP317-381
2073,SRJ1990,SRJ1990
2074,SRJ90,SRJ90
2075,SRVII-140,SRVII-140
2076,SaltLakeTrib640206,SaltLakeTrib640206
2077,SaltLakeTrib641107,SaltLakeTrib641107
2078,SaltLakeTrib700712,SaltLakeTrib700712
2079,SaltLakeTrib700805,SaltLakeTrib700805
2080,SaltLakeTrib700916,SaltLakeTrib700916
2081,SaltLakeTrib700918,SaltLakeTrib700918
2082,SaltLakeTrib710428,SaltLakeTrib710428
2083,SaltLakeTrib720927,SaltLakeTrib720927
2084,SanMateoTimes590917,SanMateoTimes590917
2085,"Serra,pc","Serra,pc"
2086,SevernayaNed080917,SevernayaNed080917
2087,Sirrs,Sirrs
2088,SkepInq0901-35,SkepInq0901-35
2089,"SolarPhys9,358","SolarPhys9,358"
2090,"SpaSciInst1,377","SpaSciInst1,377"
2091,"SpaSciInst1,91","SpaSciInst1,91"
2092,SpaceIndia9304,SpaceIndia9304
2093,SpaceWorld6111-33,SpaceWorld6111-33
2094,SpaceWorld6804-18,SpaceWorld6804-18
2095,SpeedBallRpt,SpeedBallRpt
2096,SpeedballRpt,SpeedballRpt
2097,StarsStripes910417,StarsStripes910417
2098,"StratoCirc,453","StratoCirc,453"
2099,SunAdvocate700430,SunAdvocate700430
2100,SunAdvocate720323,SunAdvocate720323
2101,SunAdvocate730405,SunAdvocate730405
2102,Sven,Sven
2103,TASS,TASS
2104,TLE/AVM,TLE/AVM
2105,TM-78275,TM-78275
2106,TM-X-1298,TM-X-1298
2107,TM-X-1346,TM-X-1346
2108,TM-X-1414,TM-X-1414
2109,TM-X-1451,TM-X-1451
2110,TM-X-1484,TM-X-1484
2111,TM-X-1499,TM-X-1499
2112,TM-X-1542,TM-X-1542
2113,TM-X-1575,TM-X-1575
2114,TM-X-1623,TM-X-1623
2115,TM-X-1924,TM-X-1924
2116,TM-X-50740,TM-X-50740
2117,TM-X-53303,TM-X-53303
2118,TM-X-54957,TM-X-54957
2119,TM-X-55075,TM-X-55075
2120,TM-X-55101,TM-X-55101
2121,TM-X-55174,TM-X-55174
2122,TM-X-55318,TM-X-55318
2123,TM-X-55429,TM-X-55429
2124,TM-X-55447,TM-X-55447
2125,TM-X-55494,TM-X-55494
2126,TM-X-55519,TM-X-55519
2127,TM-X-55549,TM-X-55549
2128,TM-X-55642,TM-X-55642
2129,TM-X-56564,TM-X-56564
2130,TM-X-56664,TM-X-56664
2131,TM-X-82433,TM-X-82433
2132,TN-68076,TN-68076
2133,TN-D-2183,TN-D-2183
2134,TN-D-2354,TN-D-2354
2135,TN-D-2383,TN-D-2383
2136,TN-D-2468,TN-D-2468
2137,TN-D-2937,TN-D-2937
2138,TN-D-2964,TN-D-2964
2139,TN-D-2972,TN-D-2972
2140,TN-D-3289,TN-D-3289
2141,TN-D-4365,TN-D-4365
2142,TN-D-4880,TN-D-4880
2143,TN-D-4937,TN-D-4937
2144,TN-D-4943,TN-D-4943
2145,TN-D-5615,TN-D-5615
2146,TN-D-5796,TN-D-5796
2147,TN-D-6746,TN-D-6746
2148,TN-D-6861,TN-D-6861
2149,TNSpace57,TNSpace57
2150,TR-HSE-0199,TR-HSE-0199
2151,Taras,Taras
2152,TheHindu100115,TheHindu100115
2153,TroyTimesRec590521,TroyTimesRec590521
2154,TucsonDly741014-1h,TucsonDly741014-1h
2155,TucsonDlyCit590523,TucsonDlyCit590523
2156,UARS,UARS
2157,UKMOD-PR,UKMOD-PR
2158,UM-HA-6/UM-FS,UM-HA-6/UM-FS
2159,UM-YB,UM-YB
2160,UM2027.42/5789,UM2027.42/5789
2161,UNMOVIC,UNMOVIC
2162,UPI,UPI
2163,UPI/MR621001-12,UPI/MR621001-12
2164,USNIP,USNIP
2165,Ulivi,Ulivi
2166,WDC-1972,WDC-1972
2167,WI-PR-64-65,WI-PR-64-65  Wallops press release
2168,WI-PR-65-38,WI-PR-65-38
2169,WI-PR-65-4,WI-PR-65-4
2170,WI-PR-66-16,WI-PR-66-16
2171,WI-PR-66-25,WI-PR-66-25
2172,WI-PR-66-34,WI-PR-66-34
2173,WI-PR-66-43,WI-PR-66-43
2174,WI-PR-79-6,WI-PR-79-6
2175,WI-PR621211,WI-PR621211
2176,WI-PR621213,WI-PR621213
2177,WI-PR63-41,WI-PR63-41
2178,WI-PR63-43,WI-PR63-43
2179,WI-PR63-7,WI-PR63-7
2180,WI-PR64-11,WI-PR64-11
2181,WI-PR64-67/SP-109,WI-PR64-67/SP-109
2182,WI-PR68-12,WI-PR68-12
2183,WI-PR69-12,WI-PR69-12
2184,WI-PR69-18,WI-PR69-18
2185,WI-PR69-5,WI-PR69-5
2186,WI-PR69-7,WI-PR69-7
2187,WI-PR69-9,WI-PR69-9
2188,WI-PR70-10,WI-PR70-10
2189,WI-PR70-2,WI-PR70-2
2190,WI-PR70-21,WI-PR70-21
2191,WI-PR75-14,WI-PR75-14
2192,WI-PR75-2,WI-PR75-2
2193,WI-PR78-21,WI-PR78-21
2194,WI-PR79-6,WI-PR79-6
2195,WI-PR81-10,WI-PR81-10
2196,WI-PR81-12,WI-PR81-12
2197,WI-PR81-16,WI-PR81-16
2198,WI-PR81-3,WI-PR81-3
2199,WI-PR81-4,WI-PR81-4
2200,WI-PR82-3,WI-PR82-3
2201,WI-PR82-4,WI-PR82-4
2202,WIPR83-4,WIPR83-4
2203,WIPR83-7,WIPR83-7
2204,WIPR83-9,WIPR83-9
2205,WIPR84-1,WIPR84-1
2206,WPost940512,WPost940512
2207,WRCRF/Massey,WRCRF/Massey
2208,WS-TM55,WS-TM55
2209,WSMR,WSMR
2210,WSMR-ARC-98.122.003,WSMR-ARC-98.122.003
2211,WSMRgr681108,White Sands Missile Ranger 681108
2212,WSMRgr700501,White Sands Missile Ranger 700501
2213,WSMRgr700717,White Sands Missile Ranger 700717
2214,WSMRgr701016,White Sands Missile Ranger 701016
2215,WSMRgr701106,White Sands Missile Ranger 701106
2216,WSMRgr701127,White Sands Missile Ranger 701127
2217,WSMRgr710430,White Sands Missile Ranger 710430
2218,WSMRgr710611,White Sands Missile Ranger 710611
2219,WSMRgr720421,White Sands Missile Ranger 720421
2220,WSMRgr720623,White Sands Missile Ranger 720623
2221,WSMRgr720929,White Sands Missile Ranger 720929
2222,WSMRgr730928,White Sands Missile Ranger 730928
2223,WSRM-AR,WSRM-AR
2224,WallopsNL080505,"Wallops Newsletter, 080505"
2225,WindSand651015,WindSand651015
2226,Zaloga,Zaloga
2227,ZalogaScud,ZalogaScud
2228,acq.osd.mil,acq.osd.mil
2229,airforcetimes.com,airforcetimes.com
2230,allvoices.com,allvoices.com
2231,bernd-leitenberger.de,bernd-leitenberger.de
2232,capcomespace.net,capcomespace.net
2233,cdi.org,cdi.org
2234,coat.ncf.ca,coat.ncf.ca
2235,coopi.krunichev.ru,coopi.krunichev.ru
2236,defense.gouv.fr,defense.gouv.fr
2237,defenselink.mil,defenselink.mil
2238,environment-hawaii,environment-hawaii
2239,expressindia.com,expressindia.com
2240,facebook.com,facebook.com
2241,floridaspace.com,floridaspace.com
2242,globalsecurity.org,globalsecurity.org
2243,glonass-center.ru,glonass-center.ru
2244,historia.mforos.com,historia.mforos.com
2245,jaxa.jp,jaxa.jp
2246,jpcoheteria.com.ar,jpcoheteria.com.ar
2247,kratosdefense.com,kratosdefense.com
2248,kursakov.narod.ru,kursakov.narod.ru
2249,lasp.colorado.edu,lasp.colorado.edu
2250,mda.mil,mda.mil
2251,meisei.co.jp,meisei.co.jp
2252,missilethreat.com,missilethreat.com
2253,narl.gov.in,narl.gov.in
2254,nasaspaceflight.com,nasaspaceflight.com
2255,nasaspaceflight.now,nasaspaceflight.now
2256,nti.org,nti.org
2257,onr.navy.mil,onr.navy.mil
2258,primahost3.prima.com,primahost3.prima.com
2259,psl.nmsu.edu,psl.nmsu.edu
2260,rian.ru,rian.ru
2261,rocketlab.co.nz,rocketlab.co.nz
2262,rocketrange.no,rocketrange.no
2263,rocketservices.co.uk,rocketservices.co.uk
2264,rocketsystem.co.jp,rocketsystem.co.jp
2265,russianforces.org,russianforces.org
2266,sinodefense.com,sinodefense.com
2267,smdc.army.mil,smdc.army.mil
2268,soframas.asso.fr,soframas.asso.fr
2269,spacevector.com,spacevector.com
2270,ssc.se,ssc.se
2271,thales-nederland.nl,thales-nederland.nl
2272,thehindu.com,thehindu.com
2273,thehindubusinessline.,thehindubusinessline.
2274,timesofindia.com,timesofindia.com
2275,u-tokyo.ac.jp,u-tokyo.ac.jp
2276,univ-perp.fr,univ-perp.fr
2277,vesti.ru,vesti.ru
2278,wikipedia.org,wikipedia.org
2279,www.bemparana.com.br,www.bemparana.com.br
2280,www.boeing.com,www.boeing.com
2281,www.dtic.mil,www.dtic.mil
2282,www.esa.int,www.esa.int
2283,www.lapan.go.id,www.lapan.go.id
2284,www.mda.mil,www.mda.mil
2285,www.menewsline.com,www.menewsline.com
2286,www.mod.go.jp,www.mod.go.jp
2287,www.montana.edu,www.montana.edu
2288,www.navy.mil,www.navy.mil
2289,www.osd.acq.mil,www.osd.acq.mil
2290,www.spaceref.com,www.spaceref.com
2291,www.uaf.edu,www.uaf.edu
2292,www.uaf.edu AKDT,www.uaf.edu AKDT
2293,www.xhclub.net/6291,www.xhclub.net/6291
2294,xhclub.net,xhclub.net
2295,xinhua,xinhuanet.com
2296,AIAA2006-59451,AIAA2006-59451
2297,ApJ,ApJ
2298,"ApJ195,643","ApJ195,643"
2299,C,C
2300,COSPAR,COSPAR
2301,DOE,DOE
2302,"Desind,Wire","Desind,Wire"
2303,ESRO-TR-9,ESRO-TR-9
2304,"ETR,Wire","ETR,Wire"
2305,GDC,GDC
2306,"IJRadioSP3,128","IJRadioSP3,128"
2307,"JAtSci33,659","JAtSci33,659"
2308,JGR,JGR
2309,"JGR61,251","JGR61,251"
2310,MAX,MAX
2311,MM,MM
2312,MR631007-20,MR631007-20
2313,MR631125-19,MR631125-19
2314,MR631125-28,MR631125-28
2315,MST?,MST?
2316,Moulin,Moulin
2317,NRL,NRL
2318,Neufeld,Neufeld
2319,PC,PC
2320,PR,PR
2321,"SR1,599","SR1,599"
2322,"SR2,1021","SR2,1021"
2323,"SR8,444","SR8,444"
2324,Stars&Stripes,Stars&Stripes
2325,UM-FS,UM-FS
2326,UM-HA,UM-HA
2327,UM-HA-6,UM-HA-6
2328,UM2027.42,UM2027.42
2329,VB158,VB158
2330,VB159,VB159
2331,VB160,VB160
2332,VB161,VB161
2333,VB162,VB162
2334,VB170,VB170
2335,VB171,VB171
2336,VB172,VB172
2337,VB173,VB173
2338,VB174,VB174
2339,WI-PR64-67,WI-PR64-67
2340,WI-PR64-7,WI-PR64-7
2341,WRCRF,WRCRF
2342,Wire(+3h),Wire(+3h)
2343,Wire(EDT),Wire(EDT)
2344,Wire(EST),Wire(EST)
2345,Wire(EST?),Wire(EST?)
2346,Wire(Jun10?),Wire(Jun10?)
2347,Wire(MDT),Wire(MDT)
2348,Wire(MST),Wire(MST)
2349,Wire(MST?),Wire(MST?)
2350,Wire(PDT),Wire(PDT)
2351,Wire(PDT?),Wire(PDT?)
2352,Wire(PST),Wire(PST)
2353,Wire(assumeEDT),Wire(assumeEDT)
2354,Wire(night),Wire(night)
2355,Wire(orOct23?),Wire(orOct23?)
2356,Wire(pm,Wire(pm
2357,Wire(sunrise),Wire(sunrise)
2358,Wire(thisweek),Wire(thisweek)
2359,WirePDT,WirePDT
2360,WirePST,WirePST
2361,corr,corr
2362,ire                 -,ire                 -
2363,pc,pc
2364,wire,wire
2365,"www,lapan.go.id","www,lapan.go.id"
2366,www.xhclub.net,www.xhclub.net
2367,DDNote,"Handwritten notebook showing Agena launch information, privately shared"
2368,Ulrich,"Ulrich Brocks, private correspondence"
2369,Stat,Approximate date deduced from known counts of this type of launch vehicle by a given date.
2370,CDBMD,Chronology of the Development of BMD
2371,DAHS82,"Dept. of the Army Historical Summary, FY 1982"
2372,Stats,Launch inferred for total launch statistics for this launch vehicle - added to make the numbers add up.
2373,ClearyArmy06,"Cleary, Mark: Army Ballistic Missile Programs at Cape Canaveral 1953-1988 (45SW History Office, 2006)"
2374,AFETR3859,AFETR: Chronology of AMR and AFETR 1938-1959
2375,AFETR6069,AFETR: Chronology of AMR and AFETR 1960-1969
2376,SAND99-2278,"1998 Annual Site Environmental Report, Sandia Labs"
2377,"MetIssled23,30","Brezgin, N. et al, 1977, Meteorologicheskiye Isseldovanie, 23, 30."
2378,AeronEarthAI,"Aeronomy of the Earth's atmosphere and ionosphere  edited by Mangalathayil Ali. Abdu, Dora Pancheva, 2011"
2379,Evteev,"Evteev, I, Operezhaya Vremya (Bioinformservis, 1999) - 85th anniversary of Chelomei"
2380,WRRS2012,"Wallops Research Range Services, 2012 Annual Report (wff.nasa.gov)"
2381,EatingGrass,"Khan, F.H.,2012, Eating Grass (Stanford UP), Ch. 12"
2382,ESRLV,"'List of all rocket launches from Esrange Space Center', DOX-RBE-\#87867-v3 document on www.sscspace.com, 2014."
2383,RC97,"Revankar, C and Chakravarty, S., Middle Atmospheric Data Directory, 1997 (npl-cgc.ernet.in)"
2384,Carveth-1406,"Carol Carveth, personal communication. (Carveth is the grad student who worked on VeSpR)."
2385,"ElecPhen3,305","Fowler, C and Altgilbers, L. in Electromagnetic Phenomena, V.3, No. 3, 2003, p 305"
2386,"Atom7,9","Ionospheric Birdseed, The Atom, Vol 7, 9, Oct 1970"
2387,TigrisatPR,http://www.most.gov.iq/arabi/index.php?name=News&file=article&sid=3986 http://www.most.gov.iq/arabi/index.php?name=News&
2388,Orthicon,"Image Orthicon Demonstration Project, HQ 1st Strategic Aerospace Division, 1965."
2389,CohetesINTA,"Simon Calero, J and Sanz-Aranguez Sanz, P., Los cohetes en el INTA. (INTA, 2012)."
2390,ElAren,"M. Vazquez Velasco, De El Arenosillo al CEDEA (INTA, 2010)."
2391,BML,"Baykonur Missile Launches, Excel document provided by Russian source, 2014."
2392,RML,"Russian Missile Launches, document provided by Russian source, 2019."
2393,RTE-FTR,"Roll Torque Evaluation Vehicle Postflight Test Report, Sandia 1976."
2394,AFCRL69-0282,"Rocket Instrumentation for PCA Measurements, Burt 1969, Utah U."
2395,LRPGD-TR1,"LRPGD Tech Report 1, Bumper Missiles 7 and 8"
2396,AFCRL67-0343,"Development of a Gerdien Condenser, Utah UARL Sci Report. No 8, 1967"
2397,SAND63,"Sandia Corporation Monthly Reports 1958-1963, LASL Report Library summary"
2398,ArcasFinal,"FInal Report, Devpt. of the Arcas Rocketsonde System"
