,IDT,IDName,Name,Rho,IFac,PoleRA,PoleDec,Meridian,SpinRate,J2,J4,J6,PoleRARate,PoleDecDec,PoleFunc,SpinFunc,InitFunc,JFile
44,P,711,Juliet,1.30,0.33,257.3100,-15.1800,302.5600,-730.1253660,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
45,P,616,Prometheus,0.48,0.33,40.5800,83.5300,296.1400,587.2890000,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
46,A,(21),Lutetia,3.40,0.33,52.0000,12.0000,94.0000,1057.7515000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
47,P,611,Epimetheus,0.64,0.33,40.5800,83.5200,293.8700,518.4907239,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
48,P,714,Belinda,1.30,0.33,257.3100,-15.1800,297.4600,-577.3628170,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
49,P,804,Thalassa,1.20,0.33,299.3600,43.4500,102.0600,1155.7555612,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
50,P,617,Pandora,0.49,0.33,40.5800,83.5300,162.9200,572.7891000,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
51,P,803,Naiad,1.30,0.33,299.3600,43.3600,254.0600,1222.8441209,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
52,P,709,Cressida,0.86,0.33,257.3100,-15.1800,59.1600,-776.5816320,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
53,P,710,Desdemona,1.30,0.33,257.3100,-15.1800,95.0800,-760.0531690,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
54,P,713,Rosalind,1.30,0.33,257.3100,-15.1800,314.9000,-644.6311260,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
55,P,708,Bianca,1.30,0.33,257.3100,-15.1800,105.4600,-828.3914760,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
56,P,707,Ophelia,1.30,0.33,257.3100,-15.1800,130.3500,-956.4068150,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
57,A,(243),Ida,2.60,0.33,168.7600,-2.8800,265.9500,1864.6280070,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
58,P,706,Cordelia,1.30,0.33,257.3100,-15.1800,127.6900,-1074.5205730,0.00,0.00,0.00,0.0000,0.0000,PMF,SSAT,,
59,P,612,Helene,1.30,0.33,40.8500,83.3400,245.1200,131.6174056,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
60,P,615,Atlas,0.46,0.33,40.5800,83.5300,137.8800,598.3060000,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
61,P,618,Pan,0.46,0.33,40.6000,83.5000,48.8000,626.0440000,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
62,A,(433),Eros,2.67,0.33,11.3500,17.2200,326.0700,1639.3886475,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
63,P,613,Telesto,0.50,0.33,50.5100,84.0600,56.8800,190.6979332,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
64,P,614,Calypso,0.50,0.33,36.4100,85.0400,153.5100,190.6742373,0.00,0.00,0.00,-0.0360,-0.0040,PMF,SSAT,,
65,P,401,Phobos,1.88,0.33,317.6707,52.8863,34.9965,1128.8447592,105000.00,0.00,0.00,-0.1084,-0.0614,PMF,SMARS,,
66,A,(951),Gaspra,2.70,0.33,9.4700,26.7000,83.6700,1226.9114850,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
67,P,402,Deimos,1.47,0.33,316.6571,53.5099,79.3993,285.1618890,108000.00,0.00,0.00,-0.1052,-0.0598,PMF,SMARS,,
68,C,9P/,Tempel 1,0.30,0.33,255.0000,64.5000,69.2000,212.8070000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
69,C,19P/,Borrelly,0.30,0.33,218.5000,-12.5000,0.0000,390.0000000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
70,A,(2867),Steins,3.00,0.33,91.0000,-62.0000,321.7600,1428.0991700,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
71,C,67P/,Churyumov-Gerasimenko,0.53,0.25,69.5400,64.1100,114.6900,696.5438847,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
72,A,(25143),Itokawa,1.95,0.33,90.5300,-66.3000,0.0000,712.1430000,0.00,0.00,0.00,0.0000,0.0000,PSTD,SSTD,,
