,JCAT,Name
677,F00610,[Космос]
678,F00612,[Наука]
679,F00614,Космос
680,F00618,[Космос]
681,F00626,ЛК
682,F00628,ЛОК
683,F00632,Космос
684,F00634,Космос
685,F00636,[Космос]
686,F00644,[Космос]
687,F00646,[Наука]
688,F00654,Космос
689,F00663,[Салют-2]
690,F00665,[Космос]
691,F00669,Космос
692,F00675,Макет ЛК
693,F00677,ЛОК
694,F00681,[Космос]
695,F00689,Космос
696,F00698,[Космос]
697,F00709,[Космос]
698,F00714,[Космос]
699,F00717,Космос
700,F00722,[Космос]
701,F00724,[капсула]
702,F00734,[Союз-18]
703,F00740,[Интеркосмос-14]
704,F00744,[Луна-24]
705,F00746,[Луна-24]
706,F00755,Космос
707,F00759,[Космос]
708,F00766,[Космос]
709,F00771,[Космос]
710,F00772,[Космос]
711,F00773,82ЛБ72 ЛВИ-2
712,F00778,[Космос]
713,F00800,Экран
714,F00806,Экран
715,F00812,Экран
716,F00814,[Космос]
717,F00816,[Наука]
718,F00825,[Космос]
719,F00867,[Космос]
720,F00870,Спускаемая Капсула
721,F00872,Спускаемая Капсула
722,F00874,[Космос]
723,F00879,Космос
724,F00880,ЭСО
725,F00881,ЭСО
726,F00882,ЭСО
727,F00883,ЭСО
728,F00884,ЭСО
729,F00885,ЭСО
730,F00886,ЭСО
731,F00887,ЭСО
732,F00888,ЭСО
733,F00889,ЭСО
734,F00890,ЭСО
735,F00891,ЭСО
736,F00892,ЭСО
737,F00893,ЭСО
738,F00894,ЭСО
739,F00895,ЭСО
740,F00896,ЭСО
741,F00897,ЭСО
742,F00898,ЭСО
743,F00899,ЭСО
744,F00900,ЭСО
745,F00901,ЭСО
746,F00902,ЭСО
747,F00903,ЭСО
748,F00905,[Космос]
749,F00910,[Космос]
750,F00919,Экран
751,F00921,Космос
752,F00929,Космос
753,F00930,Космос
754,F00931,Космос
755,F00932,Космос
756,F00933,Космос
757,F00934,Космос
758,F00935,Космос
759,F00936,Космос
760,F00942,Радуга
761,F00944,Космос
762,F00945,ЭСО
763,F00946,ЭСО
764,F00947,ЭСО
765,F00948,ЭСО
766,F00949,ЭСО
767,F00950,ЭСО
768,F00951,ЭСО
769,F00952,ЭСО
770,F00953,ЭСО
771,F00954,ЭСО
772,F00955,ЭСО
773,F00956,ЭСО
774,F00957,ЭСО
775,F00958,ЭСО
776,F00959,ЭСО
777,F00960,ЭСО
778,F00961,ЭСО
779,F00962,ЭСО
780,F00963,ЭСО
781,F00964,ЭСО
782,F00965,ЭСО
783,F00966,ЭСО
784,F00967,ЭСО
785,F00968,ЭСО
786,F00971,[Союз Т]
787,F00979,ГВМ Целина-2
788,F00991,Космос
789,F01001,[Космос]
790,F01025,[Космос]
791,F01026,[Космос]
792,F01027,[Космос]
793,F01028,[Космос]
794,F01029,[Космос]
795,F01030,[Космос]
796,F01032,[Космос]
797,F01040,Скиф-ДМ
798,F01043,Ресурс-Ф1
799,F01052,Горизонт
800,F01054,Терилен
801,F01059,Ресурс-Ф1
802,F01064,Терилен
803,F01067,Oкеан-O1
804,F01076,Спускаемая Капсула
805,F01078,Спускаемая Капсула
806,F01080,Кобальт
807,F01083,Спускаемая Капсула
808,F01085,Спускаемая Капсула
809,F01087,Кобальт
810,F01093,Экран-М
811,F01099,Целина-2
812,F01105,Ромб
813,F01106,ЭСО
814,F01107,ЭСО
815,F01108,ЭСО
816,F01109,ЭСО
817,F01110,ЭСО
818,F01111,ЭСО
819,F01112,ЭСО
820,F01113,ЭСО
821,F01114,ЭСО
822,F01115,ЭСО
823,F01116,ЭСО
824,F01117,ЭСО
825,F01118,ЭСО
826,F01119,ЭСО
827,F01120,ЭСО
828,F01121,ЭСО
829,F01122,ЭСО
830,F01123,ЭСО
831,F01124,ЭСО
832,F01125,ЭСО
833,F01126,ЭСО
834,F01127,ЭСО
835,F01128,ЭСО
836,F01129,ЭСО
837,F01135,Целина-2
838,F01141,Целина-2
839,F01151,Горизонт
840,F01167,Целина-Д
841,F01174,亚太卫星二号
842,F01177,ЭНБ
843,F01178,ЭКА
844,F01189,Комета
845,F01202,Кобальт
846,F01205,Спускаемая Капсула
847,F01207,Спускаемая Капсула
848,F01222,אופק 4
849,F01228,광명성
850,F01253,Радуга
851,F01259,Экспресс-А
852,F01268,Гонец
853,F01269,Гонец
854,F01270,Гонец
855,F01271,Стрела-3
856,F01272,Стрела-3
857,F01273,Стрела-3
858,F01281,航天清华一号
859,F01283,Фотон-м
860,F01294,情報収集衛星 光学2号機
861,F01295,情報収集衛星 レーダ2号機
862,F01301,אופק 6
863,F01302,Молния-3К
864,F01317,БелКА
865,F01318,Бауманец
866,F01349,امید
867,F01353,광명성-2
868,F01355,과학기술위성 2호
869,F01359,과학기술위성 2호
870,F01361,Ураган-М
871,F01362,Ураган-М
872,F01363,Ураган-М
873,F01375,实践十一号04星
874,F01382,Прогресс М-12М
875,F01385,Меридиан № 15
876,F01387,광명성-3
877,F01389,فجر
878,F01394,Ураган-М
879,F01395,Ураган-М
880,F01396,Ураган-М
881,F01403,資源一號03星
882,F01407,Экспресс-АМ4Р
883,F01482,高分十号
884,F01484,Прогресс МС-04
885,F01493,实践十八号
886,F01505,«Метеор-М» № 2-1
887,F01507,Бауманец-2
888,F01526,Союз МС-10
889,F01530,未来号卫星
890,F01532,«پیام» امیرکبیر
891,F01533,دوستی
892,F01537,灵鹊一号B星
893,F01539,遥感三十三号卫星
894,F01548,ظفر
895,F01550,新技术验证六号卫星
896,F01566,吉林一号高分02E星
897,F01567,微厘空间一号系统S2星
