,JCAT,Satcat,Piece,Type,Name,PLName,LDate,Parent,SDate,Primary,DDate,Status,Dest,Owner,State,Manufacturer,Bus,Motor,Mass,MassFlag,DryMass,DryFlag,TotMass,TotFlag,Length,LFlag,Diameter,DFlag,Span,SpanFlag,Shape,ODate,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,OQUAL,AltNames
2461,A02462,NNA R,1974-053,C  MR,Priborniy otsek,PO,1974 Jul 12,S07367,1974 Jul 25 0302?,Earth,1974 Jul 25 0306?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Jul 25,-194,,241,,62.81,,SO,,
2462,A02463,07291,1974-029,C AM,Kosmos-651 reactor DU,US-A reactor DU,1974 May 15,S07291,1974 Jul 25 1424?,Earth,,AO,,VMF,SU,,US-A reactor DU,,150,,50,,0,,1.1,,1.3,,1.3,,Cyl,1974 Jul 25,260,,897,,64.99,,LLEO/I,,
2463,A02464,07291,1974-029,C AM,Kosmos-651 reactor DU,US-A reactor DU,1974 May 15,S07291,1974 Jul 25 1514?,Earth,,AO,,VMF,SU,,US-A reactor DU,,150,,50,,0,,1.1,,1.3,,1.3,,Cyl,1974 Jul 25,890,,954,,64.99,,LEO/I,,
2464,A02465,07297,1974-032,C AM,Kosmos-654 reactor DU,US-A reactor DU,1974 May 17,S07297,1974 Jul 30 1338?,Earth,,AO,,VMF,SU,,US-A reactor DU,,150,,50,,0,,1.1,,1.3,,1.3,,Cyl,1974 Jul 30,262,,963,,64.98,,LEO/I,,
2465,A02466,07297,1974-032,C AM,Kosmos-654 reactor DU,US-A reactor DU,1974 May 17,S07297,1974 Jul 30 1430?,Earth,,AO,,VMF,SU,,US-A reactor DU,,150,,50,,0,,1.1,,1.3,,1.3,,Cyl,1974 Jul 30,963,,977,,64.98,,LEO/I,,
2466,A02467,NNA R,1974-057,C  MR,Priborniy otsek,PO,1974 Jul 25,S07383,1974 Aug  7 0259?,Earth,1974 Aug  7 0303?,R,,MOM,SU,TSSKB,Zenit PO,,3350,,3000,,0,,2.5,,2.4,,2.5,,DCone,1974 Aug  7,-191,,204,,64.97,,SO,,
2467,A02468,NNA R,1974-059,C  MR,Priborniy otsek,PO,1974 Jul 26,S07389,1974 Aug  8 0250?,Earth,1974 Aug  8 0256?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Aug  8,-216,,201,,81.33,,SO,,
2468,A02469,NNA R,1974-061,CP HR,Kosmos-670 BO,Bitovoy otsek,1974 Aug  6,S07405,1974 Aug  9 0100?,Earth,1974 Aug  9 0108?,R,,MOM,SU,NPOE,Soyuz BO,,1250,,1250,,0,,2.2,,2.2,,2.2,,Sphere,1974 Aug  9,-43,,273,,50.55,,SO,,
2469,A02470,NNA R,1974-061,C  MR,Kosmos-670 PAO,Priborno-agregatniy otsek,1974 Aug  6,S07405,1974 Aug  9 0100?,Earth,1974 Aug  9 0108?,R,,MOM,SU,NPOE,Soyuz PAO,,2750,,2050,,0,,2.3,,2.2,,2.3,,Cyl,1974 Aug  9,-43,,273,,50.55,,SO,,
2470,A02471,07416,1974-065A,R3,Agena D,Agena D,1974 Aug 14,R32053,1974 Aug 14 1555?,Earth,1974 Sep 29 0218?,D,,SAMSO,US,LMSC,Agena D,,1250,,1100,,0,,6.3,,1.5,,6.3,,Cyl,1974 Aug 15,136,,394,,110.50,,LLEO/R,,
2471,A02472,NNA R,1974-064,CP HR,Kosmos-672 BO,Bitovoy otsek,1974 Aug 12,S07413,1974 Aug 18 0436?,Earth,1974 Aug 18 0441?,R,,MOM,SU,NPOE,Soyuz BO,,1250,,1250,,0,,2.2,,2.2,,2.2,,Sphere,1974 Aug 18,-173,,223,,51.76,,SO,,
2472,A02473,NNA R,1974-064,C  MR,Kosmos-672 PAO,Priborno-agregatniy otsek,1974 Aug 12,S07413,1974 Aug 18 0436?,Earth,1974 Aug 18 0441?,R,,MOM,SU,NPOE,Soyuz PAO,,2700,,2200,,0,,2.3,,2.2,,9.8,,Cyl + 2 Pan,1974 Aug 18,-173,,223,,51.76,,SO,,
2473,A02474,NNA R,1974-062,C  MR,Priborniy otsek,PO,1974 Aug  7,S07409,1974 Aug 20 0304?,Earth,1974 Aug 20 0308?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Aug 20,-179,,233,,62.82,,SO,,
2474,A02475,NNA R,1974-067,CP HR,Soyuz-15 BO,Bitovoy otsek,1974 Aug 26,S07421,1974 Aug 28 1940?,Earth,1974 Aug 28 1946?,R,,MOM,SU,NPOE,Soyuz BO,,1250,,1250,,0,,2.2,,2.2,,2.2,,Sphere,1974 Aug 28,-103,,258,,51.60,,SO,,
2475,A02476,NNA R,1974-067,C  MR,Soyuz-15 PAO,Priborno-agregatniy otsek,1974 Aug 26,S07421,1974 Aug 28 1940?,Earth,1974 Aug 28 1946?,R,,MOM,SU,NPOE,Soyuz PAO,,2700,,2200,,0,,2.3,,2.2,,2.3,,Cyl,1974 Aug 28,-103,,258,,51.60,,SO,,
2476,A02477,NNA R,1974-065,C  MR,Star 12,Star 12,1974 Aug 14,A02478,1974 Sep  1 2110?,Earth,1974 Sep  1 2117?,R,,NRO/SAFSP,US,THKE,Star 12,,33,,10,,0,,0.3,,0.3,,0.3,,Cyl + Cone,1974 Sep  1,-180,,291,,110.50,,SO,F,
2477,A02478,NNA T,1974-065,PX-RT--,SRV Mission 4343-1,SRV-1,1974 Aug 14,A02482,1974 Sep  1 2110?,Earth,1974 Sep  1 2145?,L,POR,NRO/SAFSP,US,GERSD,SRV,Star 12,157,,157,,157,,0.8,,0.7,,0.8,,Cone,1974 Sep  1,123,,409,,110.50,,LLEO/R,F,
2478,A02479,NNA R,1974-068,C  MR,Priborniy otsek,PO,1974 Aug 29,S07423,1974 Sep  7 0613?,Earth,1974 Sep  7 0617?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Sep  7,-180,,229,,64.97,,SO,,
2479,A02480,NNA T,1974-046,PX-RT--,KSI,KSI No. 0504,1974 Jun 24,S07342,1974 Sep 23 0905?,Earth,1974 Sep 23 0936,L,,MOM,SU,ZIKH,KSI,,310,,310,,360,,0.7,,0.9,,0.9,,Flared Cyl,1974 Sep 23,249,,280,,51.58,,LLEO/I,,
2480,A02481,NNA R,1974-046,C  MR,KSI TDU,PDU,1974 Jun 24,A02480,1974 Sep 23 0905?,Earth,1974 Sep 23 0917?,R,,MOM,SU,TSKBM,DU,,50,,10,,0,,0.6,,0.4,,0.6,,Cyl + Nozzle,1974 Sep 23,-660,,249,,51.58,,SO,,
2481,A02482,NNA,1974-065,C  A,Fairing,GAMBIT SRV-2 Fairing,1974 Aug 14,S07416,1974 Sep 29 0045?,Earth,1974 Sep 29?,R,,NRO/SAFSP,US,LMSC,Fairing,,50,,50,,0,,0.5,,1.5,,1.5,,Frust,1974 Sep 29,125,,406,,110.48,,LLEO/R,,
2482,A02483,NNA R,1974-065,C  MR,Star 12,Star 12,1974 Aug 14,A02484,1974 Sep 29 0046?,Earth,1974 Sep 29 0053?,R,,NRO/SAFSP,US,THKE,Star 12,,33,,10,,0,,0.3,,0.3,,0.3,,Cyl + Cone,1974 Sep 29,-130,,233,,110.48,,SO,,
2483,A02484,NNA T,1974-065,PX-RT--,SRV Mission 4343-2,SRV-2,1974 Aug 14,S07416,1974 Sep 29 0046?,Earth,1974 Sep 29 0120?,L,POR,NRO/SAFSP,US,GERSD,SRV,Star 12,157,,157,,157,,0.8,,0.7,,0.8,,Cone,1974 Sep 29,126,,406,,110.48,,LLEO/R,,
2484,A02485,NNA R,1974-073,C  MR,Priborniy otsek,PO,1974 Sep 20,S07445,1974 Oct  2 0713?,Earth,1974 Oct  2 0719?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Oct  2,-184,,224,,64.98,,SO,,
2485,A02486,07466,1974-075,C AM,FW-5,FW5,1974 Oct 10,S07466,1974 Oct 10 2010?,Earth,,AO,,WUTC,US,UTC,FW5,,290,,30,,0,,1.1,,0.7,,1.1,,Cyl + Nozzle,1974 Oct 10,35085,,35860,,2.17,,GEO/D,,
2486,A02487,NNA,1974-084,R4  D,Blok D No. 0901L,11S824,1974 Oct 28,R32530,1974 Oct 28 1445,Earth,1974 Oct 29,DSO,D00523,RVSN,SU,NPOE,Blok D,,13360,,1800,,1800,,5.8,,4.1,,5.8,,Cyl,1974 Oct 28,200,,400000,,51.50,,CLO,,
2487,A02488,NNA,1974-078,C  F,Blenda,Sunshade,1974 Oct 18,S07473,1974 Oct 29?,Earth,1974 Oct 29?,R,,MOM,SU,TSSKB,Zenit BZA,,25,,25,,0,,1.0,,0.4,,1.0,,Box,1974 Oct 29,146,,309,,62.82,,LLEO/I,,
2488,A02489,07498,1974-085,C AM,SRS Motor,SRS Motor,1974 Oct 29,S07498,1974 Oct 29 2147?,Earth,1980 Jan 23,AR,,NRO,US,,SRS Motor,,5,,2,,0,,0.3,,0.1,,0.3,,Cyl + Cone,1974 Oct 29,163,,532,,96.69,,LLEO/S,,
2489,A02490,07498,1974-085,C AM,SRS Motor,SRS Motor,1974 Oct 29,S07498,1974 Oct 29 2318?,Earth,1980 Jan 23,AR,,NRO,US,,SRS Motor,,5,,2,,0,,0.3,,0.1,,0.3,,Cyl + Cone,1974 Oct 29,519,,531,,96.06,,LLEO/S,,
2490,A02491,NNA R,1974-078,C  MR,Priborniy otsek,PO,1974 Oct 18,S07473,1974 Oct 30 0644?,Earth,1974 Oct 30 0647?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Oct 30,-195,,219,,62.82,,SO,,
2491,A02492,07499,1974-085,C AM,Star 17,Star 17,1974 Oct 29,S07499,1974 Oct 30 1915?,Earth,1975 May 26,AR,,SAMSO,US,THKE,Star 17,,82,,10,,0,,0.7,,0.4,,0.7,,Cyl + Cone,1974 Oct 31,150,,3792,,97.00,,MEO,,
2492,A02493,NNA,1974-084,C  TD,Sbrasivaemiy otsek,Sbrasivaemiy otsek,1974 Oct 28,S07491,1974 Oct 28 1445,Earth,1974 Oct 29,DSO,D00524,MOM,SU,NPOL,Luna KTSO,,1000,,200,,0,,1.8,,2.5,,2.5,,2 Cyl + Box,1974 Oct 28,200,,400000,,51.50,,CLO,,
2493,A02494,NNA,1974-084,C  TD,Sbrasivaemiy otsek,Sbrasivaemiy otsek,1974 Oct 28,S07491,1974 Oct 28 1445,Earth,1974 Oct 29,DSO,D00525,MOM,SU,NPOL,Luna KTSO,,1000,,200,,0,,1.8,,2.5,,2.5,,2 Cyl + Box,1974 Oct 28,200,,400000,,51.50,,CLO,,
2494,A02495,07491,1974-084,C  MD,Luna-23 VS,Vzletnoy stupen',1974 Oct 28,S07491,1974 Oct 28 1445,Earth,1974 Oct 29,DSO,D00526,MOM,SU,,Luna E-8 VS,KRD-61,481,,176,,0,,0.5,,2.0,,2.0,,Cyl + 2 Sphere,1974 Oct 28,200,,400000,,51.50,,CLO,,
2495,A02496,07491,1974-084,PX-SD--,Luna-23 VA,VA,1974 Oct 28,A02495,1974 Oct 28 1445,Earth,1974 Oct 29,DSO,D00527,MOM,SU,NPOL,Luna VA,,39,,39,,39,,0.5,,0.5,,0.5,,Sphere,1974 Oct 28,200,,400000,,51.50,,CLO,,
2496,A02497,NNA R,1974-082,C  MR,Priborniy otsek,PO,1974 Oct 25,S07483,1974 Nov  6 0603?,Earth,1974 Nov  6 0607?,R,,MOM,SU,TSSKB,Zenit PO,,3200,,2850,,0,,2.5,,2.4,,2.5,,DCone,1974 Nov  6,-190,,237,,65.02,,SO,,
2497,A02498,NNA,1974-087,PX-S---,Kapsula Kosmosa-692,FEU-170-13 No. 4L,1974 Nov  1,S07502,1974 Nov 11 0621?,Earth,1974 Nov 11 0622?,L,,MOM,SU,TSSKB,SpK,,200,,50,,0,,0.5,,0.5,,0.5,,Sphere,1974 Nov 11,191,,283,,62.81,,LLEO/I,,
2498,A02499,NNA R,1974-087,C  MR,SpK TDU,11D864,1974 Nov  1,A02498,1974 Nov 11 0621?,Earth,1974 Nov 11 0631?,R,,MOM,SU,TSSKB,SpK TDU,,52,,10,,0,,0.5,,0.4,,0.5,,Sphere + Cone,1974 Nov 11,-686,,211,,62.81,,SO,,
